old_path,new_path,capture_timestamp,capture_date,camera_slug,make,model,width,height
013E760D-5406-40FE-A05D-F02AC29BC689 2.JPG,mkjr_20231114_sony-ilce-7cm2_001.jpg,2023-11-14 08:49:54 +0000,20231114,sony-ilce-7cm2,SONY,ILCE-7CM2,2610,3919
066F633A-54C0-47D7-B826-11CB8E86371C 2.JPG,mkjr_20231110_sony-ilce-7cm2_001.jpg,2023-11-10 09:37:35 +0000,20231110,sony-ilce-7cm2,SONY,ILCE-7CM2,2851,4281
0A82E2E1-E2C1-4B0A-A31C-46517FEF2AF6 2.JPG,mkjr_20250414_sony-ilce-7cm2_001.jpg,2025-04-14 09:39:48 +0000,20250414,sony-ilce-7cm2,SONY,ILCE-7CM2,3876,5819
0CDFBEA7-ED23-48BB-91FD-99812198B3B0 2.JPG,mkjr_20230315_noritsu-scan_001.jpg,2023-03-15 13:58:01 +0000,20230315,noritsu-scan,NORITSU KOKI,EZ Controller,4461,6761
15BFFB98-E6D9-4FDD-B93B-1F49E85A2A49 2.JPG,mkjr_20250301_sony-ilce-7cm2_002.jpg,2025-03-01 08:20:45 +0000,20250301,sony-ilce-7cm2,SONY,ILCE-7CM2,3988,5988
1CE84CD2-11FF-4276-AE59-4F9821DE5A88 2.JPG,mkjr_20241012_sony-ilce-7cm2_001.jpg,2024-10-12 07:41:45 +0000,20241012,sony-ilce-7cm2,SONY,ILCE-7CM2,3608,5417
23B16195-C4DA-4313-8A52-13FA00992B00 2.JPG,mkjr_20231113_sony-ilce-7cm2_001.jpg,2023-11-13 11:31:53 +0000,20231113,sony-ilce-7cm2,SONY,ILCE-7CM2,3069,4608
275C63F9-2BE6-442A-8C03-61A2168B7A75 2.JPG,mkjr_20231110_sony-ilce-7cm2_004.jpg,2023-11-10 10:11:28 +0000,20231110,sony-ilce-7cm2,SONY,ILCE-7CM2,2439,3570
28873B89-16C5-4070-8E03-4FB1BC640395 2.JPG,mkjr_20240506_sony-ilce-7cm2_001.jpg,2024-05-06 10:52:57 +0000,20240506,sony-ilce-7cm2,SONY,ILCE-7CM2,4579,6788
2D7D0305-CFB9-4E32-BA40-22EC86663B50 2.JPG,mkjr_20241012_sony-ilce-7cm2_003.jpg,2024-10-12 08:43:50 +0000,20241012,sony-ilce-7cm2,SONY,ILCE-7CM2,3561,5347
